stddev_open,close_perc,history_secs,abs_slope_max,win_secs,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
100.0,0.3,1.0,0.0001,1.0,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.3,2.0,0.0001,0.2,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.3,2.0,0.0001,0.5,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.3,2.0,0.0001,1.0,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.5,1.0,0.0001,0.2,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.5,1.0,0.0001,0.5,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.5,1.0,0.0001,1.0,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.5,2.0,0.0001,0.2,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.5,2.0,0.0001,0.5,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.5,2.0,0.0001,1.0,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.7,1.0,0.0001,0.2,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.7,1.0,0.0001,0.5,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.7,1.0,0.0001,1.0,0.0667,2,28,2.6711,1.2851,26.46,0.0,30
100.0,0.7,2.0,0.0001,0.2,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.7,2.0,0.0001,0.5,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.7,2.0,0.0001,1.0,0.0667,2,28,2.6711,1.2965,26.46,0.0,30
100.0,0.3,0.5,0.0001,0.2,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.3,0.5,0.0001,0.5,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.3,0.5,0.0001,1.0,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.5,0.5,0.0001,0.2,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.5,0.5,0.0001,0.5,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.5,0.5,0.0001,1.0,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.7,0.5,0.0001,0.2,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.7,0.5,0.0001,0.5,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
100.0,0.7,0.5,0.0001,1.0,0.0667,2,28,2.6726,1.2499,27.93,0.0,30
50.0,0.3,0.5,5e-05,0.2,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.3,0.5,5e-05,0.5,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.3,0.5,5e-05,1.0,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.3,1.0,5e-05,0.2,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.3,1.0,5e-05,0.5,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.3,1.0,5e-05,1.0,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.3,2.0,5e-05,0.2,0.0667,2,28,2.686,1.4467,35.86,0.0,30
50.0,0.3,2.0,5e-05,0.5,0.0667,2,28,2.686,1.4467,35.86,0.0,30
50.0,0.3,2.0,5e-05,1.0,0.0667,2,28,2.686,1.4467,35.86,0.0,30
50.0,0.5,0.5,5e-05,0.2,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.5,0.5,5e-05,0.5,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.5,0.5,5e-05,1.0,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.5,1.0,5e-05,0.2,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.5,1.0,5e-05,0.5,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.5,1.0,5e-05,1.0,0.0667,2,28,2.686,1.4414,35.86,0.0,30
50.0,0.5,2.0,5e-05,0.2,0.0667,2,28,2.686,1.4467,35.86,0.0,30
50.0,0.5,2.0,5e-05,0.5,0.0667,2,28,2.686,1.4467,35.86,0.0,30
50.0,0.5,2.0,5e-05,1.0,0.0667,2,28,2.686,1.4467,35.86,0.0,30
50.0,0.7,0.5,5e-05,0.2,0.0667,2,28,2.686,1.3834,35.86,0.0,30
50.0,0.7,0.5,5e-05,0.5,0.0667,2,28,2.686,1.3834,35.86,0.0,30
50.0,0.7,0.5,5e-05,1.0,0.0667,2,28,2.686,1.3834,35.86,0.0,30
50.0,0.7,1.0,5e-05,0.2,0.0667,2,28,2.686,1.3834,35.86,0.0,30
50.0,0.7,1.0,5e-05,0.5,0.0667,2,28,2.686,1.3834,35.86,0.0,30
50.0,0.7,1.0,5e-05,1.0,0.0667,2,28,2.686,1.3834,35.86,0.0,30
50.0,0.7,2.0,5e-05,0.2,0.0667,2,28,2.686,1.3887,35.86,0.0,30
50.0,0.7,2.0,5e-05,0.5,0.0667,2,28,2.686,1.3887,35.86,0.0,30
50.0,0.7,2.0,5e-05,1.0,0.0667,2,28,2.686,1.3887,35.86,0.0,30
150.0,0.3,1.0,0.0001,0.2,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.3,1.0,0.0001,0.5,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.3,1.0,0.0001,1.0,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.3,2.0,0.0001,0.2,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.3,2.0,0.0001,0.5,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.3,2.0,0.0001,1.0,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.5,1.0,0.0001,0.2,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.5,1.0,0.0001,0.5,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.5,1.0,0.0001,1.0,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.5,2.0,0.0001,0.2,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.5,2.0,0.0001,0.5,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.5,2.0,0.0001,1.0,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.7,1.0,0.0001,0.2,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.7,1.0,0.0001,0.5,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.7,1.0,0.0001,1.0,0.0667,2,28,2.6868,1.2581,42.13,0.0,30
150.0,0.7,2.0,0.0001,0.2,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.7,2.0,0.0001,0.5,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.7,2.0,0.0001,1.0,0.0667,2,28,2.6868,1.2695,42.13,0.0,30
150.0,0.3,0.5,0.0001,0.2,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.3,0.5,0.0001,0.5,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.3,0.5,0.0001,1.0,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.5,0.5,0.0001,0.2,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.5,0.5,0.0001,0.5,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.5,0.5,0.0001,1.0,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.7,0.5,0.0001,0.2,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.7,0.5,0.0001,0.5,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
150.0,0.7,0.5,0.0001,1.0,0.0667,2,28,2.6879,1.2253,43.27,0.0,30
300.0,0.3,1.0,0.0001,0.2,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.3,1.0,0.0001,0.5,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
300.0,0.3,1.0,0.0001,1.0,0.0667,2,28,2.9155,0.9922,5.33,0.0,30
