open_margin_db,close_margin_db,release_ms,hold_ms,min_window_sec,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,3.0,200.0,100.0,1.0,0.1,3,27,1.9941,0.4894,241.92,2012.52,30
12.0,3.0,200.0,200.0,1.0,0.1,3,27,1.9941,0.4894,241.92,2012.52,30
12.0,5.0,200.0,100.0,1.0,0.1,3,27,2.1433,0.4653,517.79,1820.52,30
12.0,5.0,200.0,200.0,1.0,0.1,3,27,2.1433,0.4653,517.79,1820.52,30
15.0,7.0,400.0,100.0,1.0,0.1,3,27,2.1622,0.5569,220.96,1785.82,30
15.0,7.0,400.0,200.0,1.0,0.1,3,27,2.1622,0.5569,220.96,1785.82,30
15.0,3.0,200.0,100.0,1.0,0.1,3,27,2.3215,0.4169,267.46,1916.42,30
15.0,3.0,200.0,200.0,1.0,0.1,3,27,2.3215,0.4169,267.46,1916.42,30
15.0,5.0,200.0,100.0,1.0,0.1,3,27,2.4428,0.3894,407.33,1863.09,30
15.0,5.0,200.0,200.0,1.0,0.1,3,27,2.4428,0.3894,407.33,1863.09,30
8.0,3.0,200.0,100.0,2.0,0.0667,2,28,1.0699,0.8579,348.32,1240.89,30
8.0,3.0,200.0,200.0,2.0,0.0667,2,28,1.0699,0.8579,348.32,1240.89,30
10.0,3.0,200.0,100.0,2.0,0.0667,2,28,1.2117,0.6723,383.99,1240.89,30
10.0,3.0,200.0,200.0,2.0,0.0667,2,28,1.2117,0.6723,383.99,1240.89,30
8.0,5.0,200.0,100.0,2.0,0.0667,2,28,1.2186,0.7973,368.32,1364.89,30
8.0,5.0,200.0,200.0,2.0,0.0667,2,28,1.2186,0.7973,368.32,1364.89,30
12.0,3.0,400.0,100.0,1.0,0.0667,2,28,1.2739,0.6773,331.46,1091.71,30
12.0,3.0,400.0,200.0,1.0,0.0667,2,28,1.2739,0.6773,331.46,1091.71,30
8.0,7.0,200.0,100.0,2.0,0.0667,2,28,1.3313,0.7273,462.99,1428.89,30
8.0,7.0,200.0,200.0,2.0,0.0667,2,28,1.3313,0.7273,462.99,1428.89,30
8.0,7.0,400.0,100.0,1.0,0.0667,2,28,1.3657,1.043,478.55,1694.22,30
8.0,7.0,400.0,200.0,1.0,0.0667,2,28,1.3657,1.043,478.55,1694.22,30
10.0,5.0,200.0,100.0,2.0,0.0667,2,28,1.3683,0.647,404.66,1364.89,30
10.0,5.0,200.0,200.0,2.0,0.0667,2,28,1.3683,0.647,404.66,1364.89,30
12.0,3.0,200.0,100.0,2.0,0.0667,2,28,1.4177,0.4857,430.82,1208.79,30
12.0,3.0,200.0,200.0,2.0,0.0667,2,28,1.4177,0.4857,430.82,1208.79,30
10.0,7.0,200.0,100.0,2.0,0.0667,2,28,1.457,0.5977,482.66,1428.89,30
10.0,7.0,200.0,200.0,2.0,0.0667,2,28,1.457,0.5977,482.66,1428.89,30
8.0,3.0,200.0,100.0,1.0,0.0667,2,28,1.5162,0.8609,241.68,2104.16,30
8.0,3.0,200.0,200.0,1.0,0.0667,2,28,1.5162,0.8609,241.68,2104.16,30
12.0,5.0,200.0,100.0,2.0,0.0667,2,28,1.5597,0.4817,450.82,1316.79,30
12.0,5.0,200.0,200.0,2.0,0.0667,2,28,1.5597,0.4817,450.82,1316.79,30
10.0,7.0,400.0,100.0,1.0,0.0667,2,28,1.5797,0.7797,487.96,1606.82,30
10.0,7.0,400.0,200.0,1.0,0.0667,2,28,1.5797,0.7797,487.96,1606.82,30
12.0,5.0,400.0,100.0,1.0,0.0667,2,28,1.6589,0.6555,331.46,1543.97,30
12.0,5.0,400.0,200.0,1.0,0.0667,2,28,1.6589,0.6555,331.46,1543.97,30
8.0,5.0,200.0,100.0,1.0,0.0667,2,28,1.6861,0.7814,590.02,1870.16,30
8.0,5.0,200.0,200.0,1.0,0.0667,2,28,1.6861,0.7814,590.02,1870.16,30
10.0,3.0,200.0,100.0,1.0,0.0667,2,28,1.7496,0.6363,256.42,2016.09,30
10.0,3.0,200.0,200.0,1.0,0.0667,2,28,1.7496,0.6363,256.42,2016.09,30
12.0,7.0,400.0,100.0,1.0,0.0667,2,28,1.7948,0.6328,331.46,1724.59,30
12.0,7.0,400.0,200.0,1.0,0.0667,2,28,1.7948,0.6328,331.46,1724.59,30
8.0,7.0,200.0,100.0,1.0,0.0667,2,28,1.8439,0.7153,766.89,1824.01,30
8.0,7.0,200.0,200.0,1.0,0.0667,2,28,1.8439,0.7153,766.89,1824.01,30
10.0,5.0,200.0,100.0,1.0,0.0667,2,28,1.9028,0.5881,600.76,1780.75,30
10.0,5.0,200.0,200.0,1.0,0.0667,2,28,1.9028,0.5881,600.76,1780.75,30
10.0,7.0,200.0,100.0,1.0,0.0667,2,28,2.018,0.5473,705.63,1793.27,30
10.0,7.0,200.0,200.0,1.0,0.0667,2,28,2.018,0.5473,705.63,1793.27,30
12.0,7.0,200.0,100.0,1.0,0.0667,2,28,2.2325,0.4418,689.13,1741.04,30
12.0,7.0,200.0,200.0,1.0,0.0667,2,28,2.2325,0.4418,689.13,1741.04,30
15.0,7.0,200.0,100.0,1.0,0.0667,2,28,2.5133,0.3679,428.0,1935.61,30
15.0,7.0,200.0,200.0,1.0,0.0667,2,28,2.5133,0.3679,428.0,1935.61,30
