open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,low_hz,high_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,4.0,500.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.5699,1.0639,31.04,385.55,30
12.0,2.0,300.0,100.0,1.0,150.0,3400.0,0.5333,16,14,0.64,0.7853,220.82,349.58,30
12.0,2.0,300.0,250.0,1.0,150.0,3400.0,0.5333,16,14,0.64,0.7853,220.82,349.58,30
12.0,6.0,500.0,100.0,1.0,300.0,3400.0,0.5333,16,14,0.64,0.972,35.04,483.0,30
12.0,6.0,500.0,250.0,1.0,300.0,3400.0,0.5333,16,14,0.64,0.972,35.04,483.0,30
6.0,4.0,800.0,100.0,0.3,300.0,3400.0,0.5,15,15,0.1301,2.4121,10.96,147.16,30
6.0,4.0,800.0,100.0,0.3,300.0,4000.0,0.5,15,15,0.1301,2.3795,10.96,147.16,30
6.0,4.0,800.0,250.0,0.3,300.0,3400.0,0.5,15,15,0.1301,2.4121,10.96,147.16,30
6.0,4.0,800.0,250.0,0.3,300.0,4000.0,0.5,15,15,0.1301,2.3795,10.96,147.16,30
6.0,2.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.1332,2.1645,18.0,115.16,30
6.0,2.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.1332,2.1458,18.0,115.16,30
6.0,2.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.1332,2.1645,18.0,115.16,30
6.0,2.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.1332,2.1458,18.0,115.16,30
6.0,4.0,800.0,100.0,0.3,150.0,3400.0,0.5,15,15,0.1339,2.3772,11.4,150.5,30
6.0,4.0,800.0,100.0,0.3,150.0,4000.0,0.5,15,15,0.1339,2.3812,11.4,150.5,30
6.0,4.0,800.0,250.0,0.3,150.0,3400.0,0.5,15,15,0.1339,2.3772,11.4,150.5,30
6.0,4.0,800.0,250.0,0.3,150.0,4000.0,0.5,15,15,0.1339,2.3812,11.4,150.5,30
8.0,2.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.1365,1.8891,21.29,115.16,30
8.0,2.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.1365,1.8905,21.29,115.16,30
8.0,2.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.1365,1.8891,21.29,115.16,30
8.0,2.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.1365,1.8905,21.29,115.16,30
6.0,4.0,800.0,100.0,1.0,300.0,3400.0,0.5,15,15,0.1398,2.0572,17.34,150.5,30
6.0,4.0,800.0,100.0,1.0,300.0,4000.0,0.5,15,15,0.1398,2.0398,17.34,150.5,30
6.0,4.0,800.0,250.0,1.0,300.0,3400.0,0.5,15,15,0.1398,2.0572,17.34,150.5,30
6.0,4.0,800.0,250.0,1.0,300.0,4000.0,0.5,15,15,0.1398,2.0398,17.34,150.5,30
8.0,4.0,800.0,100.0,1.0,300.0,3400.0,0.5,15,15,0.1438,1.8218,21.29,150.5,30
8.0,4.0,800.0,250.0,1.0,300.0,3400.0,0.5,15,15,0.1438,1.8218,21.29,150.5,30
8.0,6.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.1667,1.6447,22.11,171.92,30
8.0,6.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.1667,1.6447,22.11,171.92,30
8.0,6.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.194,1.6434,22.11,334.58,30
8.0,6.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.194,1.6434,22.11,334.58,30
6.0,2.0,300.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.2221,1.2034,221.12,481.28,30
6.0,2.0,300.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.2221,1.2034,221.12,481.28,30
6.0,2.0,300.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.2241,1.2014,221.12,481.28,30
6.0,2.0,300.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.2241,1.2014,221.12,481.28,30
10.0,2.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.2257,1.707,31.96,87.06,30
10.0,2.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.2257,1.8064,31.96,87.06,30
10.0,2.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.2257,1.707,31.96,87.06,30
10.0,2.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.2257,1.8064,31.96,87.06,30
8.0,2.0,300.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.2267,1.0247,222.46,481.28,30
8.0,2.0,300.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.2267,1.0247,222.46,481.28,30
10.0,4.0,800.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.2304,1.6917,31.96,119.06,30
10.0,4.0,800.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.2304,1.6917,31.96,119.06,30
10.0,4.0,800.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.234,1.584,31.96,122.66,30
10.0,4.0,800.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.234,1.584,31.96,122.66,30
8.0,2.0,300.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.2441,1.0107,233.12,481.28,30
8.0,2.0,300.0,250.0,1.0,150.0,3400.0,0.5,15,15,0.2441,1.0107,233.12,481.28,30
6.0,4.0,300.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.2812,1.1312,93.12,665.12,30
6.0,4.0,300.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.2812,1.1312,93.12,665.12,30
8.0,6.0,500.0,100.0,0.3,150.0,3400.0,0.5,15,15,0.2814,1.5967,41.37,603.32,30
8.0,6.0,500.0,250.0,0.3,150.0,3400.0,0.5,15,15,0.2814,1.5967,41.37,603.32,30
8.0,4.0,300.0,100.0,1.0,150.0,4000.0,0.5,15,15,0.2919,0.9479,95.79,663.83,30
8.0,4.0,300.0,250.0,1.0,150.0,4000.0,0.5,15,15,0.2919,0.9479,95.79,663.83,30
6.0,4.0,300.0,100.0,1.0,150.0,3400.0,0.5,15,15,0.2952,1.1352,93.12,663.78,30
