open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,2.0,800.0,400.0,0.3,0.4667,14,16,0.3618,1.7285,41.41,87.06,30
10.0,4.0,800.0,100.0,0.5,0.4667,14,16,0.3621,1.4927,32.08,123.33,30
10.0,4.0,800.0,250.0,0.5,0.4667,14,16,0.3621,1.4927,32.08,123.33,30
10.0,4.0,800.0,400.0,0.5,0.4667,14,16,0.3621,1.4927,32.08,123.33,30
10.0,6.0,800.0,100.0,1.0,0.4667,14,16,0.3747,1.3353,29.52,139.15,30
10.0,6.0,800.0,250.0,1.0,0.4667,14,16,0.3747,1.3353,29.52,139.15,30
10.0,6.0,800.0,400.0,1.0,0.4667,14,16,0.3747,1.3353,29.52,139.15,30
12.0,4.0,800.0,100.0,1.0,0.4667,14,16,0.3824,1.2818,40.7,119.73,30
12.0,4.0,800.0,250.0,1.0,0.4667,14,16,0.3824,1.2818,40.7,119.73,30
12.0,4.0,800.0,400.0,1.0,0.4667,14,16,0.3824,1.2818,40.7,119.73,30
8.0,6.0,300.0,100.0,1.0,0.4667,14,16,0.3868,0.8434,241.79,622.66,30
8.0,6.0,300.0,250.0,1.0,0.4667,14,16,0.3868,0.8434,241.79,622.66,30
10.0,2.0,500.0,100.0,0.5,0.4667,14,16,0.3953,1.2733,32.23,357.15,30
10.0,2.0,500.0,250.0,0.5,0.4667,14,16,0.3953,1.2733,32.23,357.15,30
10.0,2.0,500.0,400.0,0.5,0.4667,14,16,0.3953,1.2733,32.23,357.15,30
6.0,6.0,150.0,250.0,1.0,0.4667,14,16,0.4034,0.9307,508.46,553.25,30
8.0,8.0,150.0,400.0,1.0,0.4667,14,16,0.4232,0.9779,85.12,806.51,30
8.0,8.0,300.0,400.0,1.0,0.4667,14,16,0.4232,0.9779,85.12,806.51,30
10.0,4.0,500.0,100.0,0.5,0.4667,14,16,0.4249,1.1142,32.23,358.48,30
10.0,4.0,500.0,250.0,0.5,0.4667,14,16,0.4249,1.1142,32.23,358.48,30
10.0,4.0,500.0,400.0,0.5,0.4667,14,16,0.4249,1.1142,32.23,358.48,30
10.0,2.0,500.0,100.0,1.0,0.4667,14,16,0.4272,1.0826,29.52,356.48,30
10.0,2.0,500.0,250.0,1.0,0.4667,14,16,0.4272,1.0826,29.52,356.48,30
10.0,2.0,500.0,400.0,1.0,0.4667,14,16,0.4272,1.0826,29.52,356.48,30
10.0,6.0,800.0,100.0,0.5,0.4667,14,16,0.4374,1.4754,32.08,227.33,30
10.0,6.0,800.0,250.0,0.5,0.4667,14,16,0.4374,1.4754,32.08,227.33,30
10.0,6.0,800.0,400.0,0.5,0.4667,14,16,0.4374,1.4754,32.08,227.33,30
10.0,4.0,500.0,100.0,1.0,0.4667,14,16,0.4568,1.0328,29.52,357.82,30
10.0,4.0,500.0,250.0,1.0,0.4667,14,16,0.4568,1.0328,29.52,357.82,30
10.0,4.0,500.0,400.0,1.0,0.4667,14,16,0.4568,1.0328,29.52,357.82,30
10.0,8.0,800.0,100.0,1.0,0.4667,14,16,0.4693,1.2667,29.52,441.15,30
10.0,8.0,800.0,250.0,1.0,0.4667,14,16,0.4693,1.2667,29.52,441.15,30
10.0,8.0,800.0,400.0,1.0,0.4667,14,16,0.4693,1.2667,29.52,441.15,30
