open_margin_db,close_margin_db,peak_open_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,5.0,20.0,700.0,100.0,0.4,12,18,0.3594,1.6754,22.73,129.99,30
10.0,5.0,20.0,700.0,200.0,0.4,12,18,0.3594,1.6754,22.73,129.99,30
10.0,3.0,20.0,400.0,100.0,0.4,12,18,0.4208,1.2582,178.61,257.82,30
10.0,3.0,20.0,400.0,200.0,0.4,12,18,0.4208,1.2582,178.61,257.82,30
15.0,7.0,20.0,700.0,100.0,0.4,12,18,0.4278,1.3171,29.99,240.48,30
15.0,7.0,20.0,700.0,200.0,0.4,12,18,0.4278,1.3171,29.99,240.48,30
10.0,5.0,20.0,400.0,100.0,0.4,12,18,0.4535,1.2068,177.32,315.96,30
10.0,5.0,20.0,400.0,200.0,0.4,12,18,0.4535,1.2068,177.32,315.96,30
8.0,3.0,20.0,200.0,100.0,0.4,12,18,0.4633,1.0573,245.92,457.16,30
8.0,3.0,20.0,200.0,200.0,0.4,12,18,0.4633,1.0573,245.92,457.16,30
8.0,5.0,20.0,200.0,100.0,0.4,12,18,0.5246,0.942,439.77,505.84,30
8.0,5.0,20.0,200.0,200.0,0.4,12,18,0.5246,0.942,439.77,505.84,30
15.0,3.0,20.0,200.0,100.0,0.4,12,18,0.577,0.6583,181.28,469.04,30
15.0,3.0,20.0,200.0,200.0,0.4,12,18,0.577,0.6583,181.28,469.04,30
12.0,5.0,20.0,200.0,100.0,0.4,12,18,0.7073,0.654,508.51,421.1,30
12.0,5.0,20.0,200.0,200.0,0.4,12,18,0.7073,0.654,508.51,421.1,30
15.0,5.0,20.0,200.0,100.0,0.4,12,18,0.7317,0.6264,514.46,447.77,30
15.0,5.0,20.0,200.0,200.0,0.4,12,18,0.7317,0.6264,514.46,447.77,30
12.0,7.0,20.0,200.0,100.0,0.4,12,18,0.9262,0.6429,347.32,780.66,30
12.0,7.0,20.0,200.0,200.0,0.4,12,18,0.9262,0.6429,347.32,780.66,30
15.0,7.0,20.0,200.0,100.0,0.4,12,18,0.9486,0.6153,353.28,780.66,30
15.0,7.0,20.0,200.0,200.0,0.4,12,18,0.9486,0.6153,353.28,780.66,30
8.0,7.0,12.0,700.0,100.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
8.0,7.0,12.0,700.0,200.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
10.0,7.0,12.0,700.0,100.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
10.0,7.0,12.0,700.0,200.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
12.0,7.0,12.0,700.0,100.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
12.0,7.0,12.0,700.0,200.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
15.0,7.0,12.0,700.0,100.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
15.0,7.0,12.0,700.0,200.0,0.3667,11,19,0.1251,2.7318,4.75,212.66,30
8.0,3.0,16.0,200.0,100.0,0.3667,11,19,0.3363,1.2857,263.41,505.26,30
8.0,3.0,16.0,200.0,200.0,0.3667,11,19,0.3363,1.2857,263.41,505.26,30
10.0,3.0,16.0,200.0,100.0,0.3667,11,19,0.339,1.2757,264.08,507.26,30
10.0,3.0,16.0,200.0,200.0,0.3667,11,19,0.339,1.2757,264.08,507.26,30
8.0,5.0,16.0,200.0,100.0,0.3667,11,19,0.4277,1.187,434.08,544.61,30
8.0,5.0,16.0,200.0,200.0,0.3667,11,19,0.4277,1.187,434.08,544.61,30
10.0,7.0,20.0,700.0,100.0,0.3667,11,19,0.4339,1.5645,140.51,240.48,30
10.0,7.0,20.0,700.0,200.0,0.3667,11,19,0.4339,1.5645,140.51,240.48,30
10.0,5.0,16.0,200.0,100.0,0.3667,11,19,0.4377,1.149,434.75,559.27,30
10.0,5.0,16.0,200.0,200.0,0.3667,11,19,0.4377,1.149,434.75,559.27,30
12.0,5.0,16.0,200.0,100.0,0.3667,11,19,0.4383,1.065,435.37,559.27,30
12.0,5.0,16.0,200.0,200.0,0.3667,11,19,0.4383,1.065,435.37,559.27,30
15.0,5.0,16.0,200.0,100.0,0.3667,11,19,0.4383,1.065,435.37,559.27,30
15.0,5.0,16.0,200.0,200.0,0.3667,11,19,0.4383,1.065,435.37,559.27,30
8.0,7.0,16.0,200.0,100.0,0.3667,11,19,0.5365,1.0558,458.6,808.17,30
8.0,7.0,16.0,200.0,200.0,0.3667,11,19,0.5365,1.0558,458.6,808.17,30
10.0,7.0,16.0,200.0,100.0,0.3667,11,19,0.5378,1.0391,459.27,808.17,30
10.0,7.0,16.0,200.0,200.0,0.3667,11,19,0.5378,1.0391,459.27,808.17,30
12.0,7.0,16.0,200.0,100.0,0.3667,11,19,0.5384,0.9878,459.89,808.17,30
12.0,7.0,16.0,200.0,200.0,0.3667,11,19,0.5384,0.9878,459.89,808.17,30
15.0,7.0,16.0,200.0,100.0,0.3667,11,19,0.5384,0.9878,459.89,808.17,30
15.0,7.0,16.0,200.0,200.0,0.3667,11,19,0.5384,0.9878,459.89,808.17,30
10.0,3.0,20.0,200.0,100.0,0.3667,11,19,0.5813,0.9493,175.32,467.09,30
10.0,3.0,20.0,200.0,200.0,0.3667,11,19,0.5813,0.9493,175.32,467.09,30
10.0,5.0,20.0,200.0,100.0,0.3667,11,19,0.682,0.81,507.84,393.1,30
