open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,attack_tc,decay_tc,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
6.0,6.0,800.0,250.0,1.0,0.005,0.15,0.4667,14,16,0.2488,1.4808,127.89,493.99,30
6.0,6.0,800.0,100.0,1.0,0.02,0.15,0.4667,14,16,0.2724,1.3591,284.86,398.01,30
6.0,6.0,800.0,250.0,1.0,0.02,0.15,0.4667,14,16,0.2724,1.3591,284.86,398.01,30
6.0,2.0,800.0,100.0,0.3,0.005,0.6,0.4667,14,16,0.2781,1.6441,19.54,233.92,30
6.0,2.0,800.0,250.0,0.3,0.005,0.6,0.4667,14,16,0.2781,1.6441,19.54,233.92,30
6.0,4.0,800.0,100.0,0.3,0.02,0.15,0.4667,14,16,0.3007,1.5561,22.85,177.92,30
6.0,4.0,800.0,250.0,0.3,0.02,0.15,0.4667,14,16,0.3007,1.5561,22.85,177.92,30
6.0,2.0,800.0,100.0,0.3,0.02,0.3,0.4667,14,16,0.3041,1.5474,23.5,266.58,30
6.0,2.0,800.0,250.0,0.3,0.02,0.3,0.4667,14,16,0.3041,1.5474,23.5,266.58,30
6.0,4.0,800.0,100.0,1.0,0.02,0.6,0.4667,14,16,0.3222,1.3748,35.54,442.66,30
6.0,4.0,800.0,250.0,1.0,0.02,0.6,0.4667,14,16,0.3222,1.3748,35.54,442.66,30
8.0,4.0,800.0,100.0,1.0,0.005,0.15,0.4667,14,16,0.3248,1.3254,23.52,287.25,30
8.0,4.0,800.0,250.0,1.0,0.005,0.15,0.4667,14,16,0.3248,1.3254,23.52,287.25,30
6.0,2.0,500.0,100.0,0.3,0.005,0.15,0.4667,14,16,0.327,1.7057,17.56,306.09,30
6.0,2.0,500.0,250.0,0.3,0.005,0.15,0.4667,14,16,0.327,1.7057,17.56,306.09,30
6.0,4.0,800.0,100.0,0.3,0.005,0.3,0.4667,14,16,0.3454,1.7914,20.16,381.25,30
6.0,4.0,800.0,250.0,0.3,0.005,0.3,0.4667,14,16,0.3454,1.7914,20.16,381.25,30
6.0,6.0,800.0,100.0,0.3,0.005,0.15,0.4667,14,16,0.348,1.8514,117.24,399.25,30
6.0,6.0,800.0,250.0,0.3,0.005,0.15,0.4667,14,16,0.348,1.8514,117.24,399.25,30
6.0,6.0,500.0,100.0,1.0,0.005,0.15,0.4667,14,16,0.3779,1.1172,26.58,730.14,30
6.0,6.0,500.0,250.0,1.0,0.005,0.15,0.4667,14,16,0.3779,1.1172,26.58,730.14,30
6.0,6.0,800.0,100.0,0.3,0.02,0.15,0.4667,14,16,0.3821,1.4894,22.85,542.6,30
6.0,6.0,800.0,250.0,0.3,0.02,0.15,0.4667,14,16,0.3821,1.4894,22.85,542.6,30
6.0,2.0,300.0,100.0,0.3,0.005,0.15,0.4667,14,16,0.3853,1.4026,39.44,587.72,30
6.0,2.0,300.0,250.0,0.3,0.005,0.15,0.4667,14,16,0.3853,1.4026,39.44,587.72,30
6.0,6.0,800.0,100.0,1.0,0.005,0.3,0.4667,14,16,0.3861,1.3981,179.44,558.65,30
6.0,6.0,800.0,250.0,1.0,0.005,0.3,0.4667,14,16,0.3861,1.3981,179.44,558.65,30
6.0,4.0,300.0,100.0,1.0,0.02,0.15,0.4667,14,16,0.4147,0.8341,80.56,769.19,30
6.0,4.0,300.0,250.0,1.0,0.02,0.15,0.4667,14,16,0.4147,0.8341,80.56,769.19,30
6.0,4.0,800.0,100.0,0.3,0.02,0.3,0.4667,14,16,0.4247,1.4901,23.5,387.25,30
6.0,4.0,800.0,250.0,0.3,0.02,0.3,0.4667,14,16,0.4247,1.4901,23.5,387.25,30
6.0,6.0,800.0,100.0,1.0,0.02,0.3,0.4667,14,16,0.4264,1.3017,185.74,564.65,30
6.0,6.0,800.0,250.0,1.0,0.02,0.3,0.4667,14,16,0.4264,1.3017,185.74,564.65,30
6.0,4.0,800.0,100.0,0.3,0.005,0.6,0.4667,14,16,0.4294,1.5167,22.16,382.58,30
6.0,4.0,800.0,250.0,0.3,0.005,0.6,0.4667,14,16,0.4294,1.5167,22.16,382.58,30
8.0,6.0,800.0,100.0,1.0,0.005,0.15,0.4667,14,16,0.4301,1.2981,125.96,483.25,30
8.0,6.0,800.0,250.0,1.0,0.005,0.15,0.4667,14,16,0.4301,1.2981,125.96,483.25,30
8.0,2.0,500.0,100.0,1.0,0.02,0.3,0.4667,14,16,0.4316,0.9949,39.77,270.48,30
8.0,2.0,500.0,250.0,1.0,0.02,0.3,0.4667,14,16,0.4316,0.9949,39.77,270.48,30
6.0,2.0,300.0,100.0,0.3,0.005,0.3,0.4667,14,16,0.4387,1.2901,20.16,633.25,30
6.0,2.0,300.0,250.0,0.3,0.005,0.3,0.4667,14,16,0.4387,1.2901,20.16,633.25,30
6.0,2.0,500.0,100.0,0.3,0.005,0.6,0.4667,14,16,0.4408,1.3635,20.23,396.58,30
6.0,2.0,500.0,250.0,0.3,0.005,0.6,0.4667,14,16,0.4408,1.3635,20.23,396.58,30
6.0,4.0,500.0,100.0,0.3,0.005,0.3,0.4667,14,16,0.4488,1.4948,20.18,556.58,30
6.0,4.0,500.0,250.0,0.3,0.005,0.3,0.4667,14,16,0.4488,1.4948,20.18,556.58,30
8.0,2.0,500.0,100.0,1.0,0.02,0.15,0.4667,14,16,0.4613,0.9627,33.62,373.06,30
8.0,2.0,500.0,250.0,1.0,0.02,0.15,0.4667,14,16,0.4613,0.9627,33.62,373.06,30
6.0,6.0,500.0,100.0,1.0,0.02,0.15,0.4667,14,16,0.4649,1.0615,52.11,812.15,30
6.0,6.0,500.0,250.0,1.0,0.02,0.15,0.4667,14,16,0.4649,1.0615,52.11,812.15,30
6.0,6.0,800.0,100.0,0.3,0.005,0.3,0.4667,14,16,0.4654,1.6808,20.85,658.6,30
6.0,6.0,800.0,250.0,0.3,0.005,0.3,0.4667,14,16,0.4654,1.6808,20.85,658.6,30
6.0,6.0,800.0,100.0,1.0,0.005,0.6,0.4667,14,16,0.4692,1.2952,28.62,723.97,30
6.0,6.0,800.0,250.0,1.0,0.005,0.6,0.4667,14,16,0.4692,1.2952,28.62,723.97,30
6.0,4.0,500.0,100.0,1.0,0.005,0.6,0.4667,14,16,0.4716,1.1543,28.62,697.65,30
6.0,4.0,500.0,250.0,1.0,0.005,0.6,0.4667,14,16,0.4716,1.1543,28.62,697.65,30
6.0,4.0,300.0,100.0,1.0,0.005,0.3,0.4667,14,16,0.4769,0.8922,48.48,771.7,30
6.0,4.0,300.0,250.0,1.0,0.005,0.3,0.4667,14,16,0.4769,0.8922,48.48,771.7,30
10.0,2.0,500.0,100.0,1.0,0.005,0.3,0.4667,14,16,0.4836,0.9457,41.17,271.15,30
10.0,2.0,500.0,250.0,1.0,0.005,0.3,0.4667,14,16,0.4836,0.9457,41.17,271.15,30
8.0,2.0,500.0,100.0,1.0,0.005,0.6,0.4667,14,16,0.4857,1.0457,24.55,272.48,30
8.0,2.0,500.0,250.0,1.0,0.005,0.6,0.4667,14,16,0.4857,1.0457,24.55,272.48,30
6.0,6.0,500.0,100.0,0.3,0.005,0.15,0.4667,14,16,0.4907,1.4407,16.73,710.75,30
6.0,6.0,500.0,250.0,0.3,0.005,0.15,0.4667,14,16,0.4907,1.4407,16.73,710.75,30
10.0,2.0,500.0,100.0,1.0,0.005,0.15,0.4667,14,16,0.51,1.026,35.32,375.99,30
10.0,2.0,500.0,250.0,1.0,0.005,0.15,0.4667,14,16,0.51,1.026,35.32,375.99,30
6.0,4.0,300.0,100.0,1.0,0.02,0.3,0.4667,14,16,0.5159,0.8499,54.78,826.69,30
6.0,4.0,300.0,250.0,1.0,0.02,0.3,0.4667,14,16,0.5159,0.8499,54.78,826.69,30
6.0,6.0,500.0,100.0,1.0,0.005,0.3,0.4667,14,16,0.5222,1.0942,61.91,798.33,30
6.0,6.0,500.0,250.0,1.0,0.005,0.3,0.4667,14,16,0.5222,1.0942,61.91,798.33,30
