open_margin_db,sustain_margin_db,close_margin_db,release_ms,hold_ms,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
12.0,8.0,4.0,250.0,250.0,0.4333,13,17,1.0776,0.6436,313.15,382.22,30
15.0,8.0,4.0,600.0,150.0,0.4333,13,17,1.1021,0.9355,195.02,120.44,30
15.0,8.0,4.0,600.0,250.0,0.4333,13,17,1.1021,0.9355,195.02,120.44,30
18.0,4.0,1.0,400.0,150.0,0.4333,13,17,1.5087,0.704,11.86,43.51,30
18.0,4.0,1.0,400.0,250.0,0.4333,13,17,1.5087,0.704,11.86,43.51,30
18.0,4.0,2.0,400.0,150.0,0.4333,13,17,1.5087,0.6974,11.86,43.51,30
18.0,4.0,2.0,400.0,250.0,0.4333,13,17,1.5087,0.6974,11.86,43.51,30
18.0,4.0,4.0,400.0,150.0,0.4333,13,17,1.5087,0.6787,11.86,43.51,30
18.0,4.0,4.0,400.0,250.0,0.4333,13,17,1.5087,0.6787,11.86,43.51,30
18.0,6.0,1.0,400.0,150.0,0.4333,13,17,1.5087,0.704,11.86,43.51,30
18.0,6.0,1.0,400.0,250.0,0.4333,13,17,1.5087,0.704,11.86,43.51,30
18.0,6.0,2.0,400.0,150.0,0.4333,13,17,1.5087,0.6974,11.86,43.51,30
18.0,6.0,2.0,400.0,250.0,0.4333,13,17,1.5087,0.6974,11.86,43.51,30
18.0,6.0,4.0,400.0,150.0,0.4333,13,17,1.5087,0.6774,11.86,43.51,30
18.0,6.0,4.0,400.0,250.0,0.4333,13,17,1.5087,0.6774,11.86,43.51,30
18.0,8.0,1.0,400.0,150.0,0.4333,13,17,1.5087,0.704,11.86,43.51,30
18.0,8.0,1.0,400.0,250.0,0.4333,13,17,1.5087,0.704,11.86,43.51,30
18.0,8.0,2.0,400.0,150.0,0.4333,13,17,1.5087,0.6974,11.86,43.51,30
18.0,8.0,2.0,400.0,250.0,0.4333,13,17,1.5087,0.6974,11.86,43.51,30
18.0,8.0,4.0,400.0,150.0,0.4333,13,17,1.5087,0.6767,11.86,43.51,30
18.0,8.0,4.0,400.0,250.0,0.4333,13,17,1.5087,0.6767,11.86,43.51,30
10.0,8.0,2.0,600.0,150.0,0.4,12,18,0.5267,1.43,195.54,149.82,30
10.0,8.0,2.0,600.0,250.0,0.4,12,18,0.5267,1.43,195.54,149.82,30
10.0,8.0,4.0,600.0,150.0,0.4,12,18,0.6014,1.4047,195.54,291.15,30
10.0,8.0,4.0,600.0,250.0,0.4,12,18,0.6014,1.4047,195.54,291.15,30
10.0,8.0,1.0,250.0,150.0,0.4,12,18,0.718,0.9127,349.99,420.47,30
10.0,8.0,1.0,250.0,250.0,0.4,12,18,0.718,0.9127,349.99,420.47,30
10.0,6.0,4.0,250.0,150.0,0.4,12,18,0.7234,0.8274,349.32,415.15,30
10.0,6.0,4.0,250.0,250.0,0.4,12,18,0.7234,0.8274,349.32,415.15,30
10.0,8.0,2.0,250.0,150.0,0.4,12,18,0.734,0.8693,349.32,425.14,30
10.0,8.0,2.0,250.0,250.0,0.4,12,18,0.734,0.8693,349.32,425.14,30
10.0,8.0,4.0,250.0,150.0,0.4,12,18,0.8636,0.8029,349.32,554.71,30
10.0,8.0,4.0,250.0,250.0,0.4,12,18,0.8636,0.8029,349.32,554.71,30
12.0,4.0,1.0,250.0,150.0,0.4,12,18,0.9375,0.7542,313.15,213.49,30
12.0,4.0,1.0,250.0,250.0,0.4,12,18,0.9375,0.7542,313.15,213.49,30
12.0,4.0,2.0,250.0,150.0,0.4,12,18,0.9475,0.7369,348.48,218.83,30
12.0,4.0,2.0,250.0,250.0,0.4,12,18,0.9475,0.7369,348.48,218.83,30
12.0,6.0,1.0,250.0,150.0,0.4,12,18,0.9569,0.7422,313.15,244.16,30
