open_margin_db,close_margin_db,release_ms,hold_ms,noise_ema_tc_closed,cutoff_hz,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,4.0,300.0,250.0,1.0,200.0,0.4667,7,8,1.0093,0.6103,358.45,1321.1,15
12.0,2.0,500.0,100.0,1.0,200.0,0.4667,7,8,1.011,0.6293,72.23,965.1,15
12.0,2.0,500.0,250.0,1.0,200.0,0.4667,7,8,1.011,0.6293,72.23,965.1,15
12.0,2.0,300.0,100.0,1.0,200.0,0.4667,7,8,1.056,0.441,72.23,1559.77,15
12.0,2.0,300.0,250.0,1.0,200.0,0.4667,7,8,1.056,0.441,72.23,1559.77,15
12.0,4.0,500.0,100.0,1.0,200.0,0.4667,7,8,1.0777,0.6,72.23,969.1,15
12.0,4.0,500.0,250.0,1.0,200.0,0.4667,7,8,1.0777,0.6,72.23,969.1,15
10.0,6.0,500.0,100.0,1.0,120.0,0.4667,7,8,1.0787,0.533,50.89,1383.77,15
10.0,6.0,500.0,250.0,1.0,120.0,0.4667,7,8,1.0787,0.533,50.89,1383.77,15
12.0,4.0,300.0,100.0,1.0,200.0,0.4667,7,8,1.2107,0.4077,381.12,1321.1,15
12.0,4.0,300.0,250.0,1.0,200.0,0.4667,7,8,1.2107,0.4077,381.12,1321.1,15
8.0,2.0,800.0,100.0,0.3,200.0,0.4,6,9,0.3643,1.536,14.49,349.85,15
8.0,2.0,800.0,250.0,0.3,200.0,0.4,6,9,0.3643,1.536,14.49,349.85,15
8.0,4.0,800.0,100.0,0.3,200.0,0.4,6,9,0.3803,1.4667,14.49,420.52,15
8.0,4.0,800.0,250.0,0.3,200.0,0.4,6,9,0.3803,1.4667,14.49,420.52,15
8.0,2.0,800.0,100.0,0.3,80.0,0.4,6,9,0.4081,1.4331,58.29,349.85,15
8.0,2.0,800.0,100.0,0.3,120.0,0.4,6,9,0.4081,1.4918,58.29,349.85,15
8.0,2.0,800.0,250.0,0.3,80.0,0.4,6,9,0.4081,1.4331,58.29,349.85,15
8.0,2.0,800.0,250.0,0.3,120.0,0.4,6,9,0.4081,1.4918,58.29,349.85,15
8.0,4.0,800.0,100.0,0.3,80.0,0.4,6,9,0.4241,1.3945,58.29,420.52,15
8.0,4.0,800.0,100.0,0.3,120.0,0.4,6,9,0.4241,1.4211,58.29,420.52,15
8.0,4.0,800.0,250.0,0.3,80.0,0.4,6,9,0.4241,1.3945,58.29,420.52,15
8.0,4.0,800.0,250.0,0.3,120.0,0.4,6,9,0.4241,1.4211,58.29,420.52,15
6.0,6.0,800.0,100.0,0.3,200.0,0.4,6,9,0.4255,1.5278,10.49,600.32,15
6.0,6.0,800.0,250.0,0.3,200.0,0.4,6,9,0.4255,1.5278,10.49,600.32,15
