open_margin_db,close_margin_db,release_ms,hold_ms,window_sec,percentile,pass_rate,passed,failed,mean_missed_speech,mean_false_open,mean_start_delay_ms,mean_early_close_ms,total_scenarios
10.0,2.0,800.0,250.0,4.0,15.0,0.3333,5,10,0.2909,1.8386,29.93,260.99,15
12.0,2.0,500.0,100.0,4.0,15.0,0.3333,5,10,0.3099,1.4589,48.87,260.99,15
12.0,2.0,500.0,250.0,4.0,15.0,0.3333,5,10,0.3099,1.4589,48.87,260.99,15
6.0,4.0,800.0,100.0,1.0,15.0,0.3333,5,10,0.3337,2.1667,9.83,323.86,15
6.0,4.0,800.0,250.0,1.0,15.0,0.3333,5,10,0.3337,2.1667,9.83,323.86,15
8.0,4.0,800.0,100.0,1.0,15.0,0.3333,5,10,0.3343,1.9793,10.49,323.86,15
8.0,4.0,800.0,250.0,1.0,15.0,0.3333,5,10,0.3343,1.9793,10.49,323.86,15
6.0,2.0,800.0,100.0,1.0,25.0,0.3333,5,10,0.3388,2.0145,12.27,326.53,15
6.0,2.0,800.0,250.0,1.0,25.0,0.3333,5,10,0.3388,2.0145,12.27,326.53,15
8.0,2.0,500.0,100.0,1.0,15.0,0.3333,5,10,0.357,2.1487,54.29,343.86,15
8.0,2.0,500.0,250.0,1.0,15.0,0.3333,5,10,0.357,2.1487,54.29,343.86,15
6.0,4.0,500.0,100.0,1.0,15.0,0.3333,5,10,0.3597,1.8393,52.95,572.15,15
6.0,4.0,500.0,250.0,1.0,15.0,0.3333,5,10,0.3597,1.8393,52.95,572.15,15
10.0,2.0,500.0,100.0,1.0,15.0,0.3333,5,10,0.361,1.7233,58.29,343.86,15
10.0,2.0,500.0,250.0,1.0,15.0,0.3333,5,10,0.361,1.7233,58.29,343.86,15
10.0,4.0,500.0,100.0,1.0,15.0,0.3333,5,10,0.365,1.41,58.29,572.15,15
10.0,4.0,500.0,250.0,1.0,15.0,0.3333,5,10,0.365,1.41,58.29,572.15,15
6.0,2.0,300.0,100.0,4.0,15.0,0.3333,5,10,0.3705,1.5048,59.07,1242.63,15
6.0,2.0,300.0,250.0,4.0,15.0,0.3333,5,10,0.3705,1.5048,59.07,1242.63,15
8.0,2.0,300.0,100.0,4.0,15.0,0.3333,5,10,0.3771,1.4795,64.4,1242.63,15
8.0,2.0,300.0,250.0,4.0,15.0,0.3333,5,10,0.3771,1.4795,64.4,1242.63,15
12.0,2.0,500.0,100.0,1.0,15.0,0.3333,5,10,0.3861,1.6645,83.4,343.86,15
12.0,2.0,500.0,250.0,1.0,15.0,0.3333,5,10,0.3861,1.6645,83.4,343.86,15
10.0,2.0,300.0,100.0,4.0,15.0,0.3333,5,10,0.3905,1.4075,75.07,1242.63,15
10.0,2.0,300.0,250.0,4.0,15.0,0.3333,5,10,0.3905,1.4075,75.07,1242.63,15
12.0,4.0,500.0,100.0,1.0,15.0,0.3333,5,10,0.3915,1.3498,83.4,572.15,15
12.0,4.0,500.0,250.0,1.0,15.0,0.3333,5,10,0.3915,1.3498,83.4,572.15,15
10.0,2.0,800.0,100.0,2.0,35.0,0.3333,5,10,0.3922,1.2505,40.6,351.55,15
10.0,2.0,800.0,250.0,2.0,35.0,0.3333,5,10,0.3922,1.2505,40.6,351.55,15
8.0,2.0,500.0,100.0,4.0,35.0,0.3333,5,10,0.4086,1.2229,35.36,989.3,15
8.0,2.0,500.0,250.0,4.0,35.0,0.3333,5,10,0.4086,1.2229,35.36,989.3,15
6.0,6.0,500.0,100.0,4.0,15.0,0.3333,5,10,0.4131,1.4341,59.07,1046.63,15
6.0,6.0,500.0,250.0,4.0,15.0,0.3333,5,10,0.4131,1.4341,59.07,1046.63,15
8.0,2.0,300.0,100.0,1.0,15.0,0.3333,5,10,0.4157,1.798,54.29,614.85,15
8.0,2.0,300.0,250.0,1.0,15.0,0.3333,5,10,0.4157,1.798,54.29,614.85,15
10.0,2.0,300.0,100.0,1.0,15.0,0.3333,5,10,0.4197,1.4194,58.29,614.85,15
10.0,2.0,300.0,250.0,1.0,15.0,0.3333,5,10,0.4197,1.4194,58.29,614.85,15
8.0,6.0,500.0,100.0,4.0,15.0,0.3333,5,10,0.4198,1.4101,64.4,1046.63,15
8.0,6.0,500.0,250.0,4.0,15.0,0.3333,5,10,0.4198,1.4101,64.4,1046.63,15
6.0,2.0,500.0,100.0,1.0,35.0,0.3333,5,10,0.4218,1.4175,58.41,998.97,15
6.0,2.0,500.0,250.0,1.0,35.0,0.3333,5,10,0.4218,1.4175,58.41,998.97,15
12.0,4.0,800.0,100.0,2.0,35.0,0.3333,5,10,0.4253,0.8223,50.43,374.88,15
12.0,4.0,800.0,250.0,2.0,35.0,0.3333,5,10,0.4253,0.8223,50.43,374.88,15
6.0,2.0,500.0,100.0,2.0,35.0,0.3333,5,10,0.4308,1.0985,15.27,1315.66,15
6.0,2.0,500.0,250.0,2.0,35.0,0.3333,5,10,0.4308,1.0985,15.27,1315.66,15
8.0,2.0,500.0,100.0,1.0,35.0,0.3333,5,10,0.4318,1.2008,61.73,998.97,15
8.0,2.0,500.0,250.0,1.0,35.0,0.3333,5,10,0.4318,1.2008,61.73,998.97,15
10.0,6.0,500.0,100.0,4.0,15.0,0.3333,5,10,0.4331,1.3368,75.07,1046.63,15
10.0,6.0,500.0,250.0,4.0,15.0,0.3333,5,10,0.4331,1.3368,75.07,1046.63,15
10.0,4.0,800.0,100.0,1.0,35.0,0.3333,5,10,0.4602,1.2425,24.6,646.22,15
